,state_name,route_link,route_name,busname,bustype,departing_time,duration,reaching_time,star_rating,price,seats_available
0,ktcl,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kadamba Transport Corporation Limited (KTCL) - 6237,Non AC Seater 2+2,19:00:00,10h 00m,05:00:00,4.4,600,32
1,ktcl,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kadamba Transport Corporation Limited (KTCL) - 89821,A/C Sleeper (2+1),19:15:00,10h 35m,05:50:00,3.7,900,16
2,ktcl,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Atmaram Gobus,VE A/C Sleeper (2+1),22:30:00,10h 15m,08:45:00,4.6,801,3
3,ktcl,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Ashray Travels,Bharat Benz A/C Sleeper (2+1),21:00:00,11h 30m,08:30:00,4.5,699,29
4,ktcl,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Ashray Amrutyog,A/C Sleeper (2+1),22:00:00,11h 30m,09:30:00,4.4,699,29
5,ktcl,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Zingbus Plus,VE A/C Sleeper (2+1),23:55:00,11h 15m,11:10:00,4.4,609,26
6,ktcl,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Ashray Grand,Volvo Multi-Axle A/C Sleeper (2+1),23:05:00,10h 25m,09:30:00,4.2,910,31
7,ktcl,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Dolphin Travel House (37),Bharat Benz A/C Sleeper (2+1),20:15:00,10h 15m,06:30:00,4.4,810,24
8,ktcl,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Ashray Vip Yellows,A/C Sleeper (2+1),20:30:00,11h 30m,08:00:00,4.2,800,23
9,ktcl,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Ashray Divine,NON A/C Sleeper (1+2),19:45:00,11h 00m,06:45:00,4.2,700,1
